transaction_id,customer_id,product_name,quantity,unit_price,total_price,purchase_date,store_location,payment_method,is_returned
1,1,Cookie Choc,71,145.24,4440.17,3/25/2021,1st Floor,cash,false
2,2,Cookies - Fortune,71,760.86,4557.46,8/25/2021,Suite 59,debit card,false
3,3,Soup Campbells Beef With Veg,95,808.5,9849.12,7/5/2021,15th Floor,credit card,true
4,4,Turkey Tenderloin Frozen,40,12.41,8337.13,11/21/2021,Room 952,cash,false
5,5,"Yogurt - Banana, 175 Gr",28,344.53,7144.49,1/24/2021,Suite 7,credit card,true
6,6,"Flour - Corn, Fine",92,684.64,3526.47,6/18/2021,PO Box 607,cash,false
7,7,Jam - Raspberry,30,842.0,9074.31,1/5/2021,Room 33,cash,false
8,8,Broom - Corn,30,173.95,6329.88,5/18/2021,19th Floor,cash,false
9,9,Munchies Honey Sweet Trail Mix,93,233.34,1393.87,10/15/2021,Apt 656,credit card,true
10,10,Cheese - Cheddar With Claret,74,835.08,4802.54,12/20/2021,Apt 1704,cash,false
11,11,Flour - Whole Wheat,30,872.19,2491.4,1/29/2021,Suite 82,credit card,false
12,12,Veal - Bones,86,695.04,3427.58,2/23/2021,Suite 70,cash,true
13,13,Rolled Oats,59,469.99,456.81,9/29/2021,Suite 73,credit card,true
14,14,Soho Lychee Liqueur,13,369.13,6395.64,5/23/2021,Apt 409,cash,true
15,15,Filo Dough,63,402.97,6601.96,4/20/2021,PO Box 30895,credit card,true
16,16,Muffin - Mix - Bran And Maple 15l,65,550.73,1936.95,9/19/2021,15th Floor,credit card,false
17,17,Soup - Campbellschix Stew,60,620.22,2841.85,3/26/2021,11th Floor,cash,false
18,18,Compound - Raspberry,46,955.78,6830.28,11/3/2021,PO Box 60956,cash,true
19,19,Potatoes - Mini Red,43,992.22,3083.88,7/23/2021,9th Floor,cash,true
20,20,Coffee - Cafe Moreno,31,800.67,9051.57,7/13/2021,14th Floor,debit card,true
21,21,Butter Ripple - Phillips,71,638.86,5315.83,5/8/2021,Apt 1714,cash,false
22,22,Beer - True North Strong Ale,34,491.65,8472.07,11/16/2021,Room 765,credit card,true
23,23,Sobe - Liz Blizz,52,957.6,5593.81,5/28/2021,3rd Floor,credit card,false
24,24,"Soup - Canadian Pea, Dry Mix",16,797.62,9802.72,2/14/2021,Apt 1670,debit card,true
25,25,Cocoa Butter,90,834.34,2941.56,3/17/2021,PO Box 3929,debit card,true
26,26,Anisette - Mcguiness,8,272.27,5117.59,2/1/2021,Suite 100,debit card,true
27,27,Sterno - Chafing Dish Fuel,88,270.9,5323.13,11/18/2021,PO Box 1775,credit card,false
28,28,Irish Cream - Baileys,10,146.8,831.9,1/5/2021,Apt 1811,cash,false
29,29,"Beef - Rib Roast, Capless",79,265.5,4790.1,2/27/2021,Room 175,cash,false
30,30,"Corn - Cream, Canned",79,573.67,2522.92,1/25/2021,Suite 97,credit card,false
31,31,Bamboo Shoots - Sliced,54,421.99,1646.16,5/31/2021,Suite 67,credit card,true
32,32,Shrimp - Tiger 21/25,11,853.4,9892.86,5/12/2021,Suite 93,cash,true
33,33,Veal - Leg,28,376.77,8770.52,9/29/2021,Suite 46,debit card,false
34,34,Beef - Texas Style Burger,70,746.71,5608.56,4/10/2021,Suite 5,debit card,false
35,35,Pepper - Sorrano,33,176.02,1687.65,9/3/2021,Apt 548,debit card,false
36,36,Chivas Regal - 12 Year Old,38,800.22,7026.08,9/20/2021,Suite 39,cash,false
37,37,Venison - Ground,15,36.47,6522.5,6/5/2021,Room 1784,debit card,true
38,38,Wine - Spumante Bambino White,4,338.61,6402.38,5/18/2021,4th Floor,credit card,true
39,39,Pear - Packum,48,166.95,7502.18,2/23/2021,Room 958,cash,true
40,40,"Tuna - Canned, Flaked, Light",87,880.04,3033.68,1/28/2021,Apt 79,cash,true
41,41,Ice Cream Bar - Rolo Cone,97,689.33,2866.84,2/14/2021,Room 1891,debit card,false
42,42,"Pasta - Shells, Medium, Dry",51,70.34,1756.8,1/30/2021,Room 1196,debit card,true
43,43,Cheese - Mix,49,426.28,2221.55,12/23/2021,Suite 79,cash,false
44,44,Salmon - Canned,22,96.02,568.51,11/1/2021,PO Box 60408,credit card,false
45,45,Oven Mitts 17 Inch,33,616.48,6576.04,6/23/2021,Apt 1503,debit card,false
46,46,Wine - Lamancha Do Crianza,84,746.39,2072.47,11/15/2021,Apt 807,debit card,true
47,47,Sausage - Meat,68,719.0,4378.28,6/1/2021,PO Box 96075,debit card,true
48,48,"Lemonade - Island Tea, 591 Ml",54,727.26,4692.61,1/2/2021,PO Box 42742,debit card,false
49,49,Flavouring - Orange,25,248.33,6211.94,3/6/2021,PO Box 79823,credit card,true
50,50,"Pasta - Tortellini, Fresh",10,482.42,4070.65,11/30/2021,Room 1355,debit card,true
51,51,Jolt Cola - Electric Blue,55,968.73,6760.56,5/24/2021,8th Floor,cash,true
52,52,Cheese - Bakers Cream Cheese,23,913.79,2522.1,3/5/2021,Suite 48,cash,true
53,53,"Stock - Beef, Brown",37,246.03,2324.53,7/19/2021,Apt 1885,debit card,false
54,54,"Mushroom - Oyster, Fresh",71,783.85,6371.29,4/8/2021,Apt 979,credit card,true
55,55,Bread Ww Cluster,88,595.34,4930.7,1/23/2021,Suite 5,cash,true
56,56,Cake Sheet Combo Party Pack,70,330.38,7485.41,5/21/2021,Suite 66,credit card,true
57,57,"Beef - Chuck, Boneless",16,565.94,9876.6,6/29/2021,Suite 24,credit card,false
58,58,Mangostein,1,468.7,951.93,9/28/2021,19th Floor,debit card,false
59,59,Beef - Flank Steak,56,934.46,6590.77,10/12/2021,Suite 67,debit card,true
60,60,Appetizer - Seafood Assortment,5,446.39,9828.38,4/9/2021,Suite 44,cash,false
61,61,Sour Puss Sour Apple,76,435.51,4636.69,2/9/2021,PO Box 89416,credit card,true
62,62,Piping - Bags Quizna,37,867.31,8698.4,8/25/2021,Room 61,debit card,false
63,63,Cut Wakame - Hanawakaba,31,354.29,6020.39,2/14/2021,Apt 1692,debit card,true
64,64,"Seedlings - Buckwheat, Organic",15,969.79,737.83,5/12/2021,PO Box 95385,cash,true
65,65,Chicken - White Meat With Tender,31,813.89,4784.24,2/1/2021,PO Box 25958,cash,true
66,66,Pate - Cognac,22,738.59,4495.03,3/15/2021,7th Floor,cash,false
67,67,Cheese - Taleggio D.o.p.,23,867.25,3850.61,2/3/2021,PO Box 74506,debit card,false
68,68,"Soup - Knorr, Country Bean",47,221.34,5524.31,2/5/2021,Suite 71,cash,true
69,69,Water Chestnut - Canned,61,478.74,6543.62,5/29/2021,Room 774,cash,false
70,70,Gelatine Leaves - Envelopes,35,991.53,3013.84,9/18/2021,Suite 10,debit card,true
71,71,"Pepper - Julienne, Frozen",11,624.54,1972.26,1/7/2021,PO Box 27165,credit card,true
72,72,Grapes - Green,81,790.59,2701.39,10/1/2021,8th Floor,debit card,false
73,73,Whmis Spray Bottle Graduated,92,516.54,6136.35,10/4/2021,18th Floor,credit card,true
74,74,Bread - Corn Muffaleta Onion,64,792.45,4287.93,7/12/2021,Suite 85,credit card,false
75,75,Sour Puss Sour Apple,25,302.63,8569.8,8/31/2021,Suite 50,debit card,false
76,76,Ice Cream Bar - Oreo Sandwich,74,394.15,5464.22,10/11/2021,Apt 1475,credit card,true
77,77,Orange Roughy 6/8 Oz,30,851.58,7345.7,4/29/2021,PO Box 77054,credit card,true
78,78,Potatoes - Parissienne,85,302.82,7821.41,7/17/2021,Suite 49,debit card,true
79,79,Soup V8 Roasted Red Pepper,43,954.34,4082.36,4/11/2021,Apt 1573,cash,false
80,80,Black Currants,30,803.66,4645.65,9/20/2021,PO Box 25319,credit card,false
81,81,Beer - Blue Light,71,999.8,672.04,11/25/2021,Apt 86,debit card,false
82,82,"Soup - Campbells, Spinach Crm",96,297.19,8111.15,3/28/2021,Suite 29,debit card,false
83,83,Thermometer Digital,89,69.54,4676.59,7/19/2021,Suite 26,debit card,false
84,84,"Halibut - Whole, Fresh",15,166.2,4558.62,11/30/2021,PO Box 4554,cash,false
85,85,"Lemonade - Strawberry, 591 Ml",74,744.81,3459.04,11/14/2021,Room 1322,cash,true
86,86,"Pepper - White, Whole",32,434.13,2024.98,11/11/2021,Room 665,debit card,true
87,87,"Tarragon - Primerba, Paste",32,368.82,6035.37,3/6/2021,Apt 1190,credit card,false
88,88,"Pasta - Bauletti, Chicken White",70,702.31,1653.26,12/1/2021,Room 1282,cash,true
89,89,"Juice - Clamato, 341 Ml",19,665.19,4947.65,11/30/2021,Suite 85,credit card,true
90,90,Pepper - Green Thai,67,836.0,6698.7,5/6/2021,Apt 153,credit card,true
91,91,Sauce - Ranch Dressing,45,466.69,8338.46,5/13/2021,19th Floor,credit card,false
92,92,"Veal - Leg, Provimi - 50 Lb Max",66,91.46,5508.95,5/9/2021,10th Floor,cash,true
93,93,"Soup - Knorr, Ministrone",46,102.33,5697.06,3/20/2021,18th Floor,debit card,true
94,94,Beef - Tenderloin,99,254.93,563.19,1/12/2021,Apt 1258,credit card,false
95,95,Juice - Lagoon Mango,84,668.06,3477.66,1/2/2021,Room 671,credit card,true
96,96,Chicken - Leg / Back Attach,7,493.13,8223.85,3/12/2021,Apt 6,debit card,true
97,97,Shrimp - 31/40,55,722.02,3546.75,1/14/2021,PO Box 96953,debit card,false
98,98,Hagen Daza - Dk Choocolate,68,667.38,1261.6,6/25/2021,5th Floor,cash,false
99,99,Pepper - Orange,71,456.68,3375.56,5/11/2021,Apt 1048,debit card,true
100,100,Lamb Rack - Ontario,97,370.42,9409.93,1/18/2021,11th Floor,debit card,false
101,101,Mushroom - Chanterelle Frozen,22,78.46,122.23,7/15/2021,PO Box 95827,credit card,true
102,102,Liquid Aminios Acid - Braggs,100,831.83,9667.7,1/15/2021,Suite 49,credit card,true
103,103,Sausage - Chorizo,18,499.5,1118.79,4/26/2021,PO Box 83375,cash,true
104,104,Red Pepper Paste,73,154.44,373.37,4/21/2021,PO Box 43467,credit card,true
105,105,"Gingerale - Schweppes, 355 Ml",14,585.85,7852.4,7/5/2021,Suite 15,credit card,true
106,106,Plasticspoonblack,94,975.3,3436.97,5/31/2021,5th Floor,cash,true
107,107,Bagelers,23,210.19,213.94,3/5/2021,Room 1759,cash,true
108,108,Garlic - Elephant,80,106.76,7589.6,7/31/2021,PO Box 78176,debit card,false
109,109,Petite Baguette,83,822.78,5475.98,7/12/2021,Apt 1209,credit card,false
110,110,"Jam - Blackberry, 20 Ml Jar",63,742.42,9138.9,7/2/2021,Apt 659,cash,false
111,111,Chervil - Fresh,17,291.14,8556.92,5/1/2021,Suite 71,cash,true
112,112,Cheese Cloth No 100,49,73.11,2311.49,9/18/2021,Apt 352,credit card,true
113,113,Steampan - Half Size Shallow,89,318.78,3252.01,5/2/2021,Room 1250,credit card,false
114,114,Ice Cream - Vanilla,49,944.64,2731.0,12/1/2021,Room 19,debit card,false
115,115,Cheese Cloth No 100,30,874.04,122.14,6/19/2021,3rd Floor,credit card,true
116,116,"Beef - Tongue, Fresh",67,738.77,4287.51,2/22/2021,16th Floor,debit card,true
117,117,Bread Bowl Plain,33,415.96,3010.18,12/10/2021,Suite 77,debit card,true
118,118,"Asparagus - Green, Fresh",9,145.23,3165.78,5/7/2021,5th Floor,credit card,false
119,119,Olive - Spread Tapenade,11,74.61,4125.66,10/28/2021,PO Box 92401,debit card,true
120,120,"Star Anise, Whole",73,223.24,7114.5,7/23/2021,6th Floor,credit card,true
121,121,Spice - Peppercorn Melange,42,433.7,5488.79,6/2/2021,Apt 1481,cash,false
122,122,Cheese - Mozzarella,31,658.93,1785.05,3/29/2021,6th Floor,credit card,true
123,123,Bread - Calabrese Baguette,24,178.5,7848.87,4/16/2021,2nd Floor,credit card,true
124,124,Bacardi Raspberry,81,932.45,7430.15,8/18/2021,Suite 31,debit card,false
125,125,Rice - Long Grain,9,645.99,7654.63,5/29/2021,19th Floor,credit card,false
126,126,Sproutsmustard Cress,49,257.0,8300.09,8/5/2021,Room 971,credit card,true
127,127,Onion Powder,56,855.77,8486.38,7/31/2021,Suite 67,debit card,false
128,128,Bamboo Shoots - Sliced,13,380.64,8056.1,6/14/2021,Room 400,cash,false
129,129,Sugar - White Packet,94,479.01,5483.01,5/7/2021,Apt 1305,debit card,false
130,130,Cheese - Brick With Pepper,74,736.29,3174.21,4/4/2021,Apt 1364,credit card,false
131,131,Wine - Riesling Alsace Ac 2001,53,305.02,103.62,9/7/2021,Apt 1364,cash,true
132,132,Spice - Peppercorn Melange,69,323.98,7253.32,12/17/2021,PO Box 5623,cash,true
133,133,Quail Eggs - Canned,13,278.66,2645.13,6/6/2021,6th Floor,credit card,false
134,134,Juice - Ocean Spray Kiwi,91,728.65,2946.47,3/23/2021,Room 1039,debit card,true
135,135,Shichimi Togarashi Peppeers,69,506.45,1286.58,8/15/2021,PO Box 79512,debit card,true
136,136,Hersey Shakes,95,967.92,5800.88,3/17/2021,Suite 93,credit card,false
137,137,Wine - Puligny Montrachet A.,52,873.5,9053.49,12/26/2021,Apt 797,cash,true
138,138,"Lamb - Leg, Boneless",85,915.64,6194.16,9/17/2021,Room 1280,debit card,false
139,139,"Beans - Black Bean, Dry",1,854.37,6455.44,5/23/2021,Apt 584,credit card,false
140,140,"Beef - Cooked, Corned",62,399.8,550.44,4/18/2021,Room 1659,debit card,false
141,141,"Sauce - Soya, Light",34,864.87,1710.49,1/27/2021,PO Box 62216,cash,true
142,142,"Soup - Campbells, Minestrone",50,734.3,3410.99,10/11/2021,Room 1408,debit card,false
143,143,Tomatillo,42,122.03,567.77,8/28/2021,20th Floor,debit card,false
144,144,Syrup - Chocolate,24,948.76,3296.6,7/12/2021,Apt 359,debit card,true
145,145,"Tart Shells - Sweet, 2",74,574.95,4639.91,12/6/2021,7th Floor,credit card,true
146,146,"Bar Mix - Pina Colada, 355 Ml",13,651.55,7638.12,7/6/2021,Suite 63,cash,true
147,147,Bacon Strip Precooked,75,551.84,4471.67,4/24/2021,PO Box 80485,credit card,true
148,148,Sesame Seed Black,57,873.68,4976.44,5/16/2021,Suite 53,credit card,true
149,149,Mousse - Mango,38,783.72,4536.89,1/8/2021,Room 2000,credit card,false
150,150,Cheese - Brick With Onion,54,968.03,8697.85,5/13/2021,Apt 1132,credit card,false
151,151,Grapefruit - White,77,530.4,3064.78,6/17/2021,Apt 464,debit card,true
152,152,"Bread - Roll, Canadian Dinner",18,103.58,8183.23,11/28/2021,PO Box 91367,debit card,false
153,153,"Pasta - Penne, Rigate, Dry",19,544.79,6541.31,7/17/2021,Apt 1931,credit card,true
154,154,Bandage - Fexible 1x3,21,459.88,3510.74,11/19/2021,17th Floor,debit card,true
155,155,Kiwano,26,502.9,1180.98,9/19/2021,Room 1093,credit card,false
156,156,Cheese - Blue,26,245.62,3978.28,5/13/2021,PO Box 56701,debit card,false
157,157,Creamers - 10%,55,651.11,2945.76,6/17/2021,Suite 21,cash,false
158,158,Gelatine Powder,54,649.82,9099.11,10/22/2021,1st Floor,debit card,true
159,159,"Bread - Pumpernickle, Rounds",65,422.99,6029.65,4/3/2021,Apt 457,debit card,false
160,160,Wine - Chianti Classica Docg,33,508.18,4417.16,11/3/2021,Room 1747,credit card,false
161,161,Syrup - Monin - Passion Fruit,22,189.3,4911.08,4/11/2021,Room 10,credit card,false
162,162,Chinese Foods - Chicken Wing,31,688.6,6958.01,10/14/2021,Room 661,debit card,true
163,163,"Oranges - Navel, 72",85,575.03,8677.08,7/4/2021,PO Box 11471,cash,false
164,164,Bread - Raisin,25,864.63,6239.37,5/17/2021,PO Box 6356,credit card,false
165,165,Lettuce - Belgian Endive,39,533.21,1987.2,3/29/2021,Room 378,debit card,false
166,166,Wine - Ruffino Chianti Classico,23,979.47,2223.91,3/6/2021,10th Floor,credit card,false
167,167,"Lamb - Leg, Diced",6,823.04,9761.95,8/8/2021,Suite 90,credit card,false
168,168,Milk - Homo,49,279.12,2789.88,5/4/2021,Apt 138,cash,true
169,169,"Sauce - Bernaise, Mix",12,177.25,2208.22,4/22/2021,PO Box 31525,credit card,false
170,170,Shrimp - 31/40,90,549.43,3449.42,2/27/2021,Room 360,cash,true
171,171,Lettuce - Escarole,12,423.24,9733.05,4/29/2021,PO Box 46209,debit card,true
172,172,Butter - Salted,86,228.29,4426.55,1/6/2021,Apt 1278,cash,false
173,173,Wine - Zonnebloem Pinotage,99,946.09,8564.85,2/4/2021,Room 1891,cash,false
174,174,Bread - Triangle White,98,859.32,3800.34,12/1/2021,20th Floor,credit card,false
175,175,"Beef - Ground, Extra Lean, Fresh",82,696.85,2392.64,9/12/2021,PO Box 81407,credit card,true
176,176,Sword Pick Asst,75,329.27,2215.77,7/16/2021,PO Box 2112,debit card,false
177,177,Flour - Fast / Rapid,58,777.21,6732.74,12/20/2021,Room 1699,debit card,false
178,178,"Wine - Magnotta - Red, Baco",25,119.76,3868.68,6/29/2021,Suite 53,debit card,true
179,179,Ecolab - Mikroklene 4/4 L,36,759.01,3790.97,3/6/2021,Suite 29,cash,false
180,180,Cookie Dough - Double,13,83.73,9372.36,8/5/2021,Room 1263,debit card,true
181,181,Icecream - Dstk Super Cone,34,39.23,6446.74,2/10/2021,Apt 1106,cash,false
